n_leaves,n_colors,n_edges,max_cross_pairs,non_edges,non_edge_ratio,mean_out_degree,std_out_degree,max_out_degree,mean_in_degree,std_in_degree,max_in_degree,n_isolated_leaves,max_color_class_size,mean_color_class_size,std_color_class_size,n_singleton_colors,n_reciprocal_edges,reciprocal_ratio,density,reciprocity,n_nontrivial_scc,n_base_cherry_nodes,n_extension_edges,n_chain_nodes,has_chain,max_chain_length,extension_edges_per_cherry,n_false_positive_edges,n_false_negative_edges,num_species,num_hybridizations,mismatch
13,10,130,150,20,0.13333333333333333,10.0,1.1766968108291043,12,10.0,2.511511956509924,12,0,2,1.3,0.45825756949558394,7,61,0.46923076923076923,0.8333333333333334,0.9384615384615385,1,75,20,0,False,1,0.26666666666666666,0,0,10,7,False
8,6,43,52,9,0.17307692307692307,5.375,0.4841229182759271,6,5.375,2.117634293262177,7,0,2,1.3333333333333333,0.47140452079103173,4,17,0.3953488372093023,0.7678571428571429,0.7906976744186046,1,26,9,1,True,2,0.34615384615384615,0,0,6,8,False
13,8,131,144,13,0.09027777777777778,10.076923076923077,0.9166442529086912,12,10.076923076923077,1.8589301497837805,12,0,3,1.625,0.6959705453537527,4,61,0.46564885496183206,0.8397435897435898,0.9312977099236641,1,72,13,0,False,1,0.18055555555555555,0,0,8,7,False
13,8,120,144,24,0.16666666666666666,9.23076923076923,1.3674145257408596,11,9.23076923076923,3.3547634595933116,12,0,3,1.625,0.6959705453537527,4,54,0.45,0.7692307692307693,0.9,1,72,24,6,True,2,0.3333333333333333,0,0,8,7,False
10,7,83,84,1,0.011904761904761904,8.3,0.45825756949558394,9,8.3,0.6403124237432849,9,0,2,1.4285714285714286,0.4948716593053935,4,41,0.4939759036144578,0.9222222222222223,0.9879518072289156,1,42,1,0,False,1,0.023809523809523808,0,0,7,7,False
27,9,293,640,347,0.5421875,10.851851851851851,1.1451573950918745,14,10.851851851851851,2.824544587398166,14,0,5,3.0,0.9428090415820634,0,134,0.45733788395904434,0.41737891737891736,0.9146757679180887,2,320,347,16,True,3,1.084375,0,0,9,3,False
13,7,124,142,18,0.1267605633802817,9.538461538461538,0.8426500884694864,12,9.538461538461538,2.2741146921683817,12,0,3,1.8571428571428572,0.6388765649999399,2,55,0.4435483870967742,0.7948717948717948,0.8870967741935484,1,71,18,0,False,1,0.2535211267605634,0,0,7,6,False
5,5,20,20,0,0.0,4.0,0.0,4,4.0,0.0,4,0,1,1.0,0.0,5,10,0.5,1.0,1.0,1,10,0,0,False,0,0.0,0,0,5,2,False
9,5,54,64,10,0.15625,6.0,1.1547005383792515,8,6.0,1.4142135623730951,8,0,2,1.8,0.4,1,24,0.4444444444444444,0.75,0.8888888888888888,1,32,10,2,True,2,0.3125,0,0,5,1,False
7,4,27,34,7,0.20588235294117646,3.857142857142857,0.8329931278350429,5,3.857142857142857,1.6413036132965795,6,0,3,1.75,0.82915619758885,2,11,0.4074074074074074,0.6428571428571429,0.8148148148148148,1,17,7,0,False,1,0.4117647058823529,0,0,4,8,False
9,3,20,54,34,0.6296296296296297,2.2222222222222223,0.628539361054709,4,2.2222222222222223,0.6285393610547089,3,0,3,3.0,0.0,0,9,0.45,0.2777777777777778,0.9,2,27,34,2,True,2,1.2592592592592593,0,0,3,1,False
11,8,95,98,3,0.030612244897959183,8.636363636363637,1.4937887931959075,10,8.636363636363637,1.822721605069402,10,0,4,1.375,0.9921567416492215,7,46,0.4842105263157895,0.8636363636363636,0.968421052631579,1,49,3,0,False,1,0.061224489795918366,0,0,8,7,False
11,7,90,100,10,0.1,8.181818181818182,1.113404428537808,10,8.181818181818182,1.945539505366609,10,0,3,1.5714285714285714,0.7284313590846836,4,42,0.4666666666666667,0.8181818181818182,0.9333333333333333,1,50,10,1,True,2,0.2,0,0,7,2,False
24,9,324,508,184,0.36220472440944884,13.5,2.140872096444188,16,13.5,4.58257569495584,19,0,4,2.6666666666666665,0.6666666666666666,0,146,0.4506172839506173,0.5869565217391305,0.9012345679012346,1,254,184,7,True,2,0.7244094488188977,0,0,9,2,False
14,4,78,144,66,0.4583333333333333,5.571428571428571,1.498298354528788,8,5.571428571428571,3.619674131234265,10,0,5,3.5,0.8660254037844386,0,18,0.23076923076923078,0.42857142857142855,0.46153846153846156,1,72,66,7,True,2,0.9166666666666666,0,0,4,7,False
10,9,88,88,0,0.0,8.8,0.4,9,8.8,0.4,9,0,2,1.1111111111111112,0.3142696805273545,8,44,0.5,0.9777777777777777,1.0,1,44,0,0,False,0,0.0,0,0,9,4,False
17,5,82,228,146,0.6403508771929824,4.823529411764706,1.2478354962115543,8,4.823529411764706,0.9843059135695007,6,0,5,3.4,0.8000000000000002,0,38,0.4634146341463415,0.3014705882352941,0.926829268292683,2,114,146,6,True,2,1.280701754385965,0,0,5,6,False
16,9,162,214,52,0.24299065420560748,10.125,1.899835519196333,15,10.125,5.441449714919729,15,0,5,1.7777777777777777,1.227262335243029,5,61,0.3765432098765432,0.675,0.7530864197530864,1,107,52,0,False,1,0.48598130841121495,0,0,9,8,False
12,10,127,128,1,0.0078125,10.583333333333334,0.4930066485916347,11,10.583333333333334,0.6400954789890507,11,0,2,1.2,0.4,8,63,0.49606299212598426,0.9621212121212122,0.9921259842519685,1,64,1,0,False,1,0.015625,0,0,10,6,False
